Section,Depth d (mm),Thickness t (mm),Weight (kg/m),Area (mm2),Ixx (cm4),Zxx (cm3),Iyy (cm4),ryy (mm),x (mm),Mcx (kNm)
CW12715,127,1.5,3.17,404,105.5,16.62,22.7,23.88,21.25,5.68
CW12716,127,1.6,3.38,430,112.4,17.7,24.13,23.83,21.25,6.26
CW12718,127,1.8,3.8,484,125.9,19.84,26.92,23.74,21.24,7.37
CW12720,127,2,4.22,538,139.3,21.94,29.65,23.64,21.24,8.4
CW14015,140,1.5,3.32,423,131.9,18.84,23.46,23.72,20.32,6.34
CW14016,140,1.6,3.54,451,140.5,20.07,24.93,23.67,20.32,6.99
CW14018,140,1.8,3.98,508,157.5,22.51,27.83,23.58,20.32,8.24
CW15515,155,1.5,3.5,446,166.7,21.51,24.26,23.52,19.35,7.09
CW15518,155,1.8,4.2,535,199.2,25.71,28.77,23.37,19.35,9.24
CW17015,170,1.5,3.67,468,206.4,24.29,24.95,23.29,18.47,7.84
CW17018,170,1.8,4.41,562,246.8,29.04,29.62,23.14,18.47,10.24
CW18515,185,1.5,3.85,491,251.4,27.18,25.63,23.06,17.67,8.58
CW18518,185,1.8,4.62,589,300.6,32.51,30.4,22.91,17.68,11.24
CW20015,200,1.5,4.03,513,301.7,30.18,26.23,22.81,16.94,9.31
CW20016,200,1.6,4.3,547,321.6,32.17,27.88,22.76,16.94,10.3
CW20018,200,1.8,4.83,616,361,36.11,31.11,22.66,16.95,12.24
CW20020,200,2,5.37,684,399.9,40,34.26,22.56,16.95,14.07
CW22015,220,1.5,4.26,543,377.7,34.34,26.95,22.49,16.06,10.35
CW22016,220,1.6,4.55,579,402.6,36.61,28.64,22.44,16.06,11.36
CW22018,220,1.8,5.12,652,452.1,41.11,31.96,22.34,16.07,13.55
CW22020,220,2,5.68,724,501,45.56,35.21,22.24,16.08,15.63
CW24020,240,2,6,764,616.3,51.37,36.05,21.91,15.29,17.17
