Section No,Depth d (mm),Thickness t (mm),Top Flange a (mm),"Btm.
Flange b (mm)",Weight (kg/m),Area (mm2),Ixx (cm4),Zxx (cm3),Iyy (cm4),ryy (mm),x (mm),y (mm)
Z/12513,125,1.3,55,45,2.51,321,78.1,12.07,19.77,24.83,52.03,64.65
Z/12514,125,1.4,55,45,2.7,345,84.1,13.01,21.33,24.86,52.08,64.65
Z/12515,125,1.5,55,45,2.89,369,90.1,13.94,22.88,24.89,52.13,64.65
Z/12517,125,1.7,55,45,3.27,418,102.1,15.79,25.99,24.94,52.23,64.65
Z/12520,125,2,55,45,3.83,490,119.8,18.53,30.63,24.99,52.38,64.65
Z/14013,140,1.3,58,49,2.74,350,106,14.68,23.62,25.99,51.91,72.21
Z/14014,140,1.4,58,49,2.95,376,114.2,15.82,25.48,26.02,51.96,72.21
Z/14015,140,1.5,58,49,3.15,403,122.4,16.95,27.34,26.05,52.01,72.21
Z/14017,140,1.7,58,49,3.56,456,138.7,19.21,31.05,26.1,52.11,72.21
Z/14020,140,2,58,49,4.16,535,162.9,22.57,36.6,26.15,52.26,72.2
Z/15513,155,1.3,58,49,2.89,369,134.3,16.83,23.62,25.29,51.79,79.81
Z/15514,155,1.4,58,49,3.11,397,144.7,18.14,25.49,25.33,51.84,79.81
Z/15515,155,1.5,58,49,3.33,425,155.1,19.44,27.34,25.35,51.89,79.81
Z/15517,155,1.7,58,49,3.76,481,175.8,22.03,31.06,25.4,51.99,79.81
Z/15520,155,2,58,49,4.4,565,206.6,25.89,36.61,25.45,52.14,79.81
Z/17013,170,1.3,58,49,3.04,389,166.7,19.07,23.63,24.66,51.69,87.41
Z/17014,170,1.4,58,49,3.28,418,179.7,20.55,25.49,24.69,51.74,87.41
Z/17015,170,1.5,58,49,3.5,448,192.6,22.03,27.35,24.71,51.79,87.41
Z/17017,170,1.7,58,49,3.96,507,218.3,24.98,31.07,24.76,51.89,87.41
Z/17020,170,2,58,49,4.63,595,256.6,29.36,36.62,24.81,52.04,87.41
Z/18513,185,1.3,58,49,3.2,408,203.4,21.41,23.64,24.07,51.6,95
Z/18514,185,1.4,58,49,3.44,439,219.2,23.07,25.5,24.09,51.65,95
Z/18515,185,1.5,58,49,3.68,470,235,24.74,27.36,24.12,51.7,95
Z/18517,185,1.7,58,49,4.16,532,266.5,28.05,31.08,24.16,51.8,94.99
Z/18520,185,2,58,49,4.87,625,313.3,32.98,36.63,24.21,51.95,94.99
Z/20013,200,1.3,58,49,3.35,428,244.6,23.84,23.64,23.51,51.52,102.58
Z/20014,200,1.4,58,49,3.6,460,263.6,25.7,25.51,23.54,51.57,102.57
Z/20015,200,1.5,58,49,3.86,493,282.7,27.56,27.37,23.57,51.62,102.57
Z/20017,200,1.7,58,49,4.36,558,320.5,31.25,31.08,23.6,51.72,102.57
Z/20020,200,2,58,49,5.1,655,377,36.75,36.64,23.65,51.87,102.57
Z/20025,200,2.5,58,49,6.33,816,470.1,45.83,45.87,23.7,52.12,102.57
